Date,Time,Ia,Ig,Ia 2nd Limit,Ia 1st Limit,Conv_Speed,Product_Temp,Electrode_Set,Electrode_Act
25/03/2025,14:38:48,1.53,0.56,1.7,1.5,0.2,52,75,93.9
25/03/2025,14:38:53,1.54,0.56,1.7,1.5,0.2,55,75,93.9
25/03/2025,14:38:58,1.55,0.56,1.7,1.5,0.2,63,75,93.9
25/03/2025,14:39:03,1.56,0.56,1.7,1.5,0.2,70,75,93.9
25/03/2025,14:39:08,1.56,0.56,1.7,1.5,0.2,83,75,93.9
25/03/2025,14:39:13,1.57,0.56,1.7,1.5,0.2,94,75,93.9
25/03/2025,14:39:18,1.57,0.56,1.7,1.5,0.2,98,75,93.9
25/03/2025,14:39:23,1.57,0.56,1.7,1.5,0.2,103,75,93.9
25/03/2025,14:39:28,1.56,0.56,1.7,1.5,0.2,103,75,93.9
25/03/2025,14:39:33,1.56,0.56,1.7,1.5,0.2,102,75,93.9
25/03/2025,14:39:38,1.56,0.56,1.7,1.5,0.2,100,75,93.9
25/03/2025,14:39:43,1.56,0.56,1.7,1.5,0.2,99,75,93.9
25/03/2025,14:39:48,1.56,0.56,1.7,1.5,0.2,97,75,93.9
25/03/2025,14:39:53,1.56,0.56,1.7,1.5,0.2,96,75,93.9
25/03/2025,14:39:58,1.55,0.56,1.7,1.5,0.2,95,75,93.9
25/03/2025,14:40:03,1.56,0.56,1.7,1.5,0.2,94,75,93.9
25/03/2025,14:40:08,1.56,0.56,1.7,1.5,0.2,92,75,93.9
25/03/2025,14:40:13,1.57,0.56,1.7,1.5,0.2,92,75,93.9
25/03/2025,14:40:18,1.57,0.56,1.7,1.5,0.2,91,75,93.9
25/03/2025,14:40:23,1.58,0.56,1.7,1.5,0.2,89,75,93.9
25/03/2025,14:40:28,1.59,0.56,1.7,1.5,0.2,89,75,93.9
25/03/2025,14:40:33,1.59,0.56,1.7,1.5,0.2,88,75,93.9
25/03/2025,14:40:38,1.6,0.56,1.7,1.5,0.2,86,75,93.9
25/03/2025,14:40:43,1.61,0.56,1.7,1.5,0.2,86,75,93.9
25/03/2025,14:40:48,1.61,0.56,1.7,1.5,0.2,85,75,93.9
25/03/2025,14:40:53,1.62,0.56,1.7,1.5,0.2,84,75,93.9
25/03/2025,14:40:58,1.62,0.56,1.7,1.5,0.2,83,75,93.9
25/03/2025,14:41:03,1.62,0.56,1.7,1.5,0.2,82,75,93.9
25/03/2025,14:41:08,1.63,0.56,1.7,1.5,0.2,82,75,93.9
25/03/2025,14:41:13,1.61,0.55,1.7,1.5,0.2,81,75,93.9
25/03/2025,14:41:18,1.63,0.56,1.7,1.5,0.2,80,75,93.9
25/03/2025,14:41:23,1.62,0.56,1.7,1.5,0.2,80,75,93.9
25/03/2025,14:41:28,1.62,0.56,1.7,1.5,0.2,79,75,93.9
